epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2235,2.29746,2.98254,1.83277,0.2604,0.40791,0.23413,0.10917,1.4421,2.00917,1.30288,0.00014,0.00014,0.00014
2,30.4739,1.34736,1.12145,1.16572,0.92613,0.93452,0.97241,0.62147,1.15738,1.61548,1.12235,0.00029406,0.00029406,0.00029406
3,46.269,1.11944,0.7701,1.0435,0.76973,0.89086,0.86654,0.51009,1.3109,1.84839,1.177,0.000441784,0.000441784,0.000441784
4,60.2961,1.06429,0.69631,0.9976,0.82166,0.92497,0.8354,0.53066,1.12678,1.22599,1.05266,0.000583172,0.000583172,0.000583172
5,73.9812,1.08236,0.66179,0.99709,0.68824,0.93179,0.69867,0.46233,1.0886,1.53059,1.05619,0.000718224,0.000718224,0.000718224
6,87.4253,1.0841,0.63625,1.00805,0.57157,0.91542,0.57565,0.38978,1.05478,1.51605,1.04917,0.00084694,0.00084694,0.00084694
7,101.32,1.0821,0.62424,1.02309,0.46576,0.95225,0.46823,0.3226,1.02511,2.76748,1.03732,0.00096932,0.00096932,0.00096932
8,115.69,1.08012,0.60799,0.99025,0.48386,0.95225,0.48662,0.32599,1.05319,1.84762,1.03632,0.00108536,0.00108536,0.00108536
9,131.544,1.03908,0.60018,0.98135,0.75763,0.94674,0.77691,0.54918,1.03372,0.736,1.02848,0.00119507,0.00119507,0.00119507
10,147.808,0.96746,0.56385,0.97081,0.92745,0.97662,0.96387,0.6616,1.04199,0.68244,1.03727,0.00129844,0.00129844,0.00129844
11,164.969,0.96953,0.57382,0.95979,0.97027,0.97952,0.99192,0.69448,1.00107,0.59762,1.03853,0.00139548,0.00139548,0.00139548
12,181.045,1.04567,0.60726,1.00478,0.98075,0.9733,0.99043,0.7191,0.97463,0.6537,1.0302,0.00148618,0.00148618,0.00148618
13,196.017,1.05583,0.59733,1.00027,0.95824,0.97817,0.98534,0.69722,1.01797,0.61488,1.0524,0.0015248,0.0015248,0.0015248
14,209.456,1.0007,0.5961,0.97512,0.86345,0.96044,0.94685,0.68349,0.99123,0.99226,1.02423,0.0014852,0.0014852,0.0014852
15,226.934,0.96711,0.55205,0.97362,0.87052,0.94816,0.92123,0.67765,0.95176,0.83731,0.99463,0.0014456,0.0014456,0.0014456
16,553.312,0.94283,0.53521,0.9572,0.98381,0.97271,0.99301,0.72362,0.98261,0.55701,1.0169,0.001406,0.001406,0.001406
